"","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","infl","ltr","corpr","svar","D12.diff","E12.diff","b.m.diff","tbl.diff","AAA.diff","BAA.diff","lty.diff","ntis.diff","infl.diff","ltr.diff","corpr.diff","svar.diff","tbl.lagdiff","AAA.lagdiff","BAA.lagdiff","lty.lagdiff","ltr.lagdiff","corpr.lagdiff","EqPremResponse"
"3",0.77,1.11,0.3746885899,0.0317,0.0503127404,0.0589127404,0.0373127404,0.076474752,-0.0057127404,0.0270378414,0.0192212943,0.0030932007,0.02,-0.0329999999999999,-0.00589747210000002,0.0049,-0.0065127404,-0.0067127404,-0.0071127404,-0.0181420368,0.0057127404,0.012577093,-0.0044093728,0.0002676576,-0.0035,-0.0114381765,-0.0121381765,-0.0128381765,0.030167313,0.0052590466,"1"
"4",0.79,1.177,0.363254838,0.0327,0.0444303875,0.0530303875,0.0315303875,0.0543639372,0.000169612500000006,0.0069891912,0.0136573853,0.0029326575,0.02,0.0669999999999999,-0.0114337519,0.001,-0.00588235290000001,-0.00588235290000001,-0.00578235290000001,-0.0221108148,0.00588235290000001,-0.0200486502,-0.005563909,-0.0001605432,0.0013,0.0167410405,0.0159410405,0.0150410405,0.0077112268,-0.000199128900000001,"0"
"5",0.81,1.245,0.3702999477,0.0392,0.0455303875,0.0553303875,0.0324303875,0.0502987889,0.000169612499999999,-0.0040301174,-0.0087955338,0.0070322957,0.02,0.0680000000000001,0.0070451097,0.0065,0.0011,0.00230000000000001,0.000900000000000005,-0.00406514829999999,-6.93889390390723e-18,-0.0110193086,-0.0224529191,0.0040996382,-0.0013,-0.0291413609,-0.0286413609,-0.0284413609,-0.0386572322,-0.0122298667,"1"
"6",0.83,1.312,0.3281658101,0.0457,0.0401500407,0.0499500407,0.0286500407,0.0279800569,0.0059499593,-0.0183064338,0.0103135751,0.003554761,0.0199999999999999,0.0669999999999999,-0.0421341376,0.0065,-0.0053803468,-0.0053803468,-0.0037803468,-0.022318732,0.0057803468,-0.0142763164,0.0191091089,-0.0034775347,-0.0039,0.0111606936,0.0102606936,0.0111606936,0.0110379208,0.0149178231,"1"
"7",0.85,1.38,0.2596666667,0.0426,0.051743948,0.061643948,0.039643948,0.0630687383,-0.005643948,0.0165111819,0.013109349,0.0062796111,0.02,0.0679999999999998,-0.0684991434,-0.0031,0.0115939073,0.0116939073,0.0109939073,0.0350886814,-0.0115939073,0.0348176157,0.0027957739,0.0027248501,0.0049,-0.0065127404,-0.0067127404,-0.0071127404,0.012577093,-0.0044093728,"1"
"8",0.88,1.438,0.2723004695,0.046,0.0644434607,0.0753434607,0.0551434607,0.0798045664,-0.0174434607,-0.0386050547,-0.0014507222,0.0079823463,0.03,0.0580000000000001,0.0126338028,0.0034,0.0126995127,0.0136995127,0.0154995127,0.0167358281,-0.0117995127,-0.0551162366,-0.0145600712,0.0017027352,0.001,-0.00588235290000001,-0.00588235290000001,-0.00578235290000001,-0.0200486502,-0.005563909,"1"
"9",0.91,1.495,0.2535805819,0.048,0.088744129,0.100444129,0.077744129,0.1161973604,-0.041044129,0.0219738995,0.0017790707,0.00840455,0.03,0.0570000000000002,-0.0187198876,0.002,0.0243006683,0.0251006683,0.0226006683,0.036392794,-0.0236006683,0.0605789542,0.0032297929,0.0004222037,0.0065,0.0011,0.00230000000000001,0.000900000000000005,-0.0110193086,-0.0224529191,"1"
"10",0.94,1.552,0.2448682487,0.0458,0.1133842641,0.1265842641,0.1028842641,0.1213901177,-0.0653842641,-0.00070918,0.0074176136,0.0080561972,0.0299999999999999,0.0569999999999999,-0.00871233319999998,-0.0022,0.0246401351,0.0261401351,0.0251401351,0.00519275729999999,-0.0243401351,-0.0226830795,0.0056385429,-0.0003483528,0.0065,-0.0053803468,-0.0053803468,-0.0037803468,-0.0142763164,0.0191091089,"0"
"11",0.97,1.61,0.3384578236,0.0303,0.1256983042,0.1384983042,0.1129983042,0.1635221721,-0.0789983042,0.0532434765,0.0247922077,0.1001709182,0.03,0.0580000000000001,0.0935895749,-0.0155,0.0123140401,0.0119140401,0.0101140401,0.0421320544,-0.0136140401,0.0539526565,0.0173745941,0.092114721,-0.0031,0.0115939073,0.0116939073,0.0109939073,0.0348176157,0.0027957739,"1"
"12",0.973,1.45,0.3191191891,0.0295,0.1513324265,0.1624324265,0.1386324265,0.1454961766,-0.1051324265,0.0154856197,0.0271238462,0.0046619103,0.003,-0.16,-0.0193386345,-0.000800000000000002,0.0256341223,0.0239341223,0.0256341223,-0.0180259955,-0.0261341223,-0.0377578568,0.0023316385,-0.0955090079,0.0034,0.0126995127,0.0136995127,0.0154995127,-0.0551162366,-0.0145600712,"0"
